05-2011,86
06-2011,89
07-2011,84
08-2011,89
09-2011,84
10-2011,91
11-2011,83
12-2011,82
01-2012,92
02-2012,99
03-2012,96
04-2012,100
05-2012,97
06-2012,96
07-2012,89
08-2012,84
09-2012,89
10-2012,87
11-2012,74
12-2012,70
01-2013,76
02-2013,88
03-2013,85
04-2013,78
05-2013,79
06-2013,77
07-2013,74
08-2013,71
09-2013,72
10-2013,78
11-2013,70
12-2013,61
01-2014,71
02-2014,76
03-2014,86
04-2014,74
05-2014,71
06-2014,64
07-2014,70
08-2014,64
09-2014,62
10-2014,70
11-2014,58
12-2014,56
01-2015,62
02-2015,66
03-2015,62
04-2015,62
05-2015,60
06-2015,66
07-2015,65
08-2015,62
09-2015,59
10-2015,67
11-2015,54
12-2015,54
01-2016,62
02-2016,65
03-2016,64
04-2016,64
05-2016,64
06-2016,57
07-2016,60
08-2016,55
09-2016,57
10-2016,63
11-2016,53
12-2016,53
01-2017,57
02-2017,71
03-2017,62
04-2017,57
05-2017,61
06-2017,55
07-2017,53
08-2017,50
09-2017,50
10-2017,57
11-2017,48
12-2017,48
01-2018,51
02-2018,56
03-2018,55
04-2018,51
05-2018,55
06-2018,50
07-2018,50
08-2018,49
09-2018,46
10-2018,50
11-2018,45
12-2018,45
01-2019,66
02-2019,55
03-2019,53
04-2019,50
05-2019,48
06-2019,46
07-2019,42
08-2019,41
09-2019,43
10-2019,71
11-2019,44
12-2019,41
01-2020,41
02-2020,46
03-2020,36
04-2020,43
05-2020,46
06-2020,44
07-2020,42
08-2020,43
09-2020,40
10-2020,42
11-2020,35
12-2020,38
01-2021,34
02-2021,47
03-2021,39
04-2021,39
